Date,Forecasted Price,Lower Bound,Upper Bound
2000-08-23,31.584403696209172,18.107201654013046,45.188893532093104
2000-08-24,31.665093435327908,19.090533465740883,45.407155244568095
2000-08-25,31.672887586251438,17.240246488048424,43.92384979875084
2000-08-28,31.62847323590647,18.717432848647665,45.455695568343145
2000-08-29,31.739384735797977,18.887498554358846,44.115282399685036
2000-08-30,31.72689902397503,18.13037300798521,45.31987861602855
2000-08-31,31.809069979667456,18.47925207128084,44.33201167968863
2000-09-01,31.810747976049466,19.91542871908575,45.31729679562706
2000-09-05,31.784789495257805,19.21487819077358,45.0034787823047
2000-09-06,31.735588733707587,18.63880519599236,45.088724512752925
2000-09-07,31.77742120065717,18.21655067947172,45.22756600848008
2000-09-08,31.736209036286677,17.1786887849675,44.973146576922574
2000-09-11,31.498733713063157,18.991573866399225,44.72662913695465
2000-09-12,31.535704561836557,18.400808419949232,44.185334173452596
2000-09-13,31.447609155641974,18.343238470327666,44.236374470007135
2000-09-14,31.454419226935144,18.23456055643202,44.99763117380671
2000-09-15,31.38286140016522,17.72864915579648,44.76062592876813
2000-09-18,31.08826292482941,18.407163040393208,44.44388481085498
2000-09-19,31.118624305405707,17.490111918076057,43.91252158020289
2000-09-20,31.03026139412672,17.25716322715147,44.50606410267988
2000-09-21,31.042957691608173,18.737787903408694,44.33180436459323
2000-09-22,30.983083655586707,18.04017718775353,43.83055432690834
2000-09-25,30.752519908427637,17.674031262757932,44.08564950721509
2000-09-26,30.811335794871333,18.799004692745964,43.92168317741657
2000-09-27,30.753477131743146,17.68814991113681,45.36838492660848
2000-09-28,30.797740968667096,17.127863356992826,44.47625499016609
2000-09-29,30.76949433624103,16.287948840503322,44.76683564809508
2000-10-02,30.624466460502063,16.93495514679941,43.01174891299847
2000-10-03,30.70573721101991,17.53537642778992,44.83436059391103
2000-10-04,30.666063121817317,17.75884961620474,44.568690241196926
2000-10-05,30.723674900008724,18.06461816481241,43.96363041951297
2000-10-06,30.703513159163165,17.742960231080886,42.997873348753544
2000-10-09,30.549161813451082,17.391036536603366,43.18711348646626
2000-10-10,30.616233559262398,17.807800025926113,43.45808355808307
2000-10-11,30.557235580915677,16.915289606656366,43.572759983320985
2000-10-12,30.590852623213415,17.69670612545992,43.37729381453067
2000-10-13,30.542593052690663,15.964454228225058,44.09449036808814
2000-10-16,30.286295678676943,16.828646372082613,44.07543620467709
2000-10-17,30.316094195529786,17.01029961746235,44.21980119589026
2000-10-18,30.219524540955998,18.10314247493303,43.081641589278604
2000-10-19,30.216058630497383,16.553739969975037,42.61296113020691
2000-10-20,30.131944890836618,17.48678166441823,43.786765463330255
2000-10-23,29.781719305288433,15.980777371183935,42.98168363371917
2000-10-24,29.786342250408655,17.33207397977757,43.31044767729153
2000-10-25,29.668165856340696,16.437180518838368,43.38945589071966
2000-10-26,29.64677213316945,16.755218024407178,42.37195116192204
2000-10-27,29.54838948158798,16.391758617622195,42.583448973808046
2000-10-30,29.175259949927096,16.87809995912023,42.67313671908319
2000-10-31,29.177651558006332,16.3630121588528,40.9249769808039
2000-11-01,29.059106712620057,15.806619824583843,42.59102269051116
2000-11-02,29.038608192090887,15.50041701469726,42.208196563673646
2000-11-03,28.94175033531087,15.398981872338483,42.721772132680236
2000-11-06,28.57058260795801,15.56597742222385,43.30016145261677
2000-11-07,28.57076776872255,15.153772967809662,42.170869998830405
2000-11-08,28.44773587167507,15.293871658909167,40.84478366311578
2000-11-09,28.420085528281383,15.723468616522535,42.30019411316957
2000-11-10,28.313132579961994,14.759558119931327,41.045021705259224
2000-11-13,27.893031126846573,14.408164404066742,41.14808061221862
2000-11-14,27.87099369472276,15.123876509991538,41.35824974134723
2000-11-15,27.723252818095784,14.387008249101541,40.303790761833596
2000-11-16,27.66886775117881,15.430239511105459,41.83474201700457
2000-11-17,27.533720099048615,14.647663790163131,40.68912666951884
2000-11-20,27.027183464360164,14.68066986263505,40.886030771684275
2000-11-21,26.9783055891797,12.314469241367721,39.90514174121707
2000-11-22,26.806072715793007,13.769520755656263,39.304003168855175
2000-11-27,26.049496649410976,13.422809835503111,40.02153597840348
2000-11-28,26.005301636336586,12.601715732822958,38.76149189416636
2000-11-29,25.84434586554356,12.052833748447139,39.06044675586554
2000-11-30,25.78668222572569,12.029862686323657,38.426169434454216
2000-12-01,25.659013354742612,11.847134118386032,39.38040441658833
2000-12-04,25.244627566486926,12.329650983346173,38.020262116361714
2000-12-05,25.250315971533,12.195876530175566,39.17571145147497
2000-12-06,25.144301673066238,11.55573254591824,37.76378712881323
2000-12-07,25.145949456150824,11.086226380522678,38.306642966791635
2000-12-08,25.081196087012724,10.864248613079564,37.76772914281901
2000-12-11,24.868758425309565,12.012472018285505,38.369384855626315
2000-12-12,24.943242636559226,11.830741920430027,38.81466121739716
2000-12-13,24.90531797207,11.465952102657633,38.09614721279108
2000-12-14,24.97353071662217,12.334738770762877,38.17350798942037
2000-12-15,24.973056266968072,11.642506082693654,37.663489804468966
2000-12-18,24.933273205149497,12.134521704866152,38.2531642400053
2000-12-19,25.056880780864553,11.262883145530427,38.131831914082866
2000-12-20,25.063264450865795,11.681424275320122,38.68453146841405
2000-12-21,25.17076432780116,11.774509916377346,38.54502653339056
2000-12-22,25.204450083237305,12.208049583028352,38.51210315787522
2000-12-26,25.374671546106807,12.164610355627957,37.62565255966556
2000-12-27,25.39099602510934,12.588008609340793,39.68283546982653
2000-12-28,25.504324524670057,11.814067728606286,38.50082784467534
2000-12-29,25.540059759256856,12.665534242159735,38.9357783999212
